"","tourney_date","tourney_name","surface","draw_size","tourney_level","match_num","winner_id","loser_id","best_of","winner_rank","winner_rank_points","loser_rank","loser_rank_points","player_rank","player_id"
"211",2013-07-22,"Gstaad","Clay",28,"A",10,103852,103401,"3",29,1325,183,262,29,"Feliciano Lopez"
"212",2013-07-22,"Gstaad","Clay",28,"A",19,103852,105723,"3",29,1325,82,634,29,"Feliciano Lopez"
"213",2013-07-22,"Gstaad","Clay",28,"A",24,103852,104527,"3",29,1325,10,2915,29,"Feliciano Lopez"
"214",2013-07-22,"Gstaad","Clay",28,"A",26,104898,103852,"3",57,817,29,1325,29,"Feliciano Lopez"
"215",2013-08-05,"Canada Masters","Hard",56,"M",23,105208,103852,"3",38,1035,29,1345,29,"Feliciano Lopez"
"216",2013-08-11,"Cincinnati Masters","Hard",56,"M",10,103852,105453,"3",27,1355,12,2485,27,"Feliciano Lopez"
"217",2013-08-11,"Cincinnati Masters","Hard",56,"M",31,103852,104871,"3",27,1355,30,1281,27,"Feliciano Lopez"
"218",2013-08-11,"Cincinnati Masters","Hard",56,"M",44,105223,103852,"3",7,4740,27,1355,27,"Feliciano Lopez"
"219",2013-08-26,"US Open","Hard",128,"G",37,103852,103722,"5",26,1435,206,223,26,"Feliciano Lopez"
"220",2013-08-26,"US Open","Hard",128,"G",56,105554,105453,"5",179,269,12,2405,179,"Daniel Evans"
"221",2013-08-26,"US Open","Hard",128,"G",83,103852,105614,"5",26,1435,124,460,26,"Feliciano Lopez"
"222",2013-08-26,"US Open","Hard",128,"G",92,105554,106071,"5",179,269,52,870,179,"Daniel Evans"
"223",2013-08-26,"US Open","Hard",128,"G",106,105683,103852,"5",11,2555,26,1435,26,"Feliciano Lopez"
"224",2013-08-26,"US Open","Hard",128,"G",110,103990,105554,"5",22,1620,179,269,179,"Daniel Evans"
"225",2013-09-13,"Davis Cup WG PO: CRO vs GBR","Clay",4,"D",2,104471,105554,"5",35,1170,149,378,149,"Daniel Evans"
"226",2013-09-13,"Davis Cup WG PO: CRO vs GBR","Clay",4,"D",5,105554,106207,"3",149,378,374,106,149,"Daniel Evans"
"227",2013-09-23,"Bangkok","Hard",28,"A",7,103852,111513,"3",25,1435,616,42,25,"Feliciano Lopez"
"228",2013-09-23,"Bangkok","Hard",28,"A",17,103852,104424,"3",25,1435,123,463,25,"Feliciano Lopez"
"229",2013-09-23,"Bangkok","Hard",28,"A",23,105683,103852,"3",11,2610,25,1435,25,"Feliciano Lopez"
"230",2013-09-30,"Tokyo","Hard",32,"A",6,103852,105147,"3",24,1455,160,328,24,"Feliciano Lopez"
"231",2013-09-30,"Tokyo","Hard",32,"A",19,105453,103852,"3",13,2250,24,1455,24,"Feliciano Lopez"
"232",2013-10-07,"Shanghai Masters","Hard",56,"M",18,103852,103813,"3",30,1320,41,1050,30,"Feliciano Lopez"
"233",2013-10-07,"Shanghai Masters","Hard",56,"M",36,104607,103852,"3",6,4610,30,1320,30,"Feliciano Lopez"
"234",2013-10-21,"Valencia","Hard",32,"A",2,103898,103852,"3",33,1195,30,1275,30,"Feliciano Lopez"
"235",2013-10-28,"Paris Masters","Hard",48,"M",13,103852,106071,"3",29,1275,55,890,29,"Feliciano Lopez"
"236",2013-10-28,"Paris Masters","Hard",48,"M",29,104527,103852,"3",8,3240,29,1275,29,"Feliciano Lopez"
"237",2013-12-29,"Brisbane","Hard",28,"A",7,103852,105062,"3",28,1310,67,721,28,"Feliciano Lopez"
"238",2013-12-29,"Brisbane","Hard",28,"A",17,103720,103852,"3",60,780,28,1310,28,"Feliciano Lopez"
"239",2013-12-30,"Doha","Hard",32,"A",4,105208,105554,"3",24,1393,150,346,150,"Daniel Evans"
"240",2014-01-13,"Australian Open","Hard",128,"G",20,103852,104500,"5",27,1310,97,579,27,"Feliciano Lopez"
"241",2014-01-13,"Australian Open","Hard",128,"G",74,103852,103582,"5",27,1310,144,391,27,"Feliciano Lopez"
"242",2014-01-13,"Australian Open","Hard",128,"G",101,104918,103852,"5",4,5560,27,1310,27,"Feliciano Lopez"
"243",2014-01-31,"Davis Cup WG R1: GER vs ESP","Hard",4,"D",2,104252,103852,"5",29,1245,26,1355,26,"Feliciano Lopez"
"244",2014-01-31,"Davis Cup WG R1: GER vs ESP","Hard",4,"D",4,103852,104259,"3",26,1355,27,1330,26,"Feliciano Lopez"
"245",2014-02-03,"Zagreb","Hard",28,"A",6,105554,104225,"3",147,362,106,540,147,"Daniel Evans"
"246",2014-02-03,"Zagreb","Hard",28,"A",16,105554,103582,"3",147,362,148,360,147,"Daniel Evans"
"247",2014-02-03,"Zagreb","Hard",28,"A",22,105554,104259,"3",147,362,27,1330,147,"Daniel Evans"
"248",2014-02-03,"Zagreb","Hard",28,"A",25,103163,105554,"3",12,2435,147,362,147,"Daniel Evans"
"249",2014-02-10,"Memphis","Hard",28,"A",20,103333,103852,"3",80,667,26,1355,26,"Feliciano Lopez"
"250",2014-02-17,"Delray Beach","Hard",32,"A",4,103852,105023,"3",27,1355,57,800,27,"Feliciano Lopez"
"251",2014-02-17,"Delray Beach","Hard",32,"A",18,103852,105173,"3",27,1355,70,714,27,"Feliciano Lopez"
"252",2014-02-17,"Delray Beach","Hard",32,"A",25,105449,103852,"3",142,390,27,1355,27,"Feliciano Lopez"
"253",2014-02-17,"Marseille","Hard",28,"A",11,104660,105554,"3",91,611,124,457,124,"Daniel Evans"
"254",2014-02-24,"Acapulco","Hard",32,"A",2,103852,104273,"3",37,1100,35,1133,37,"Feliciano Lopez"
"255",2014-02-24,"Acapulco","Hard",32,"A",17,103970,103852,"3",4,5370,37,1100,37,"Feliciano Lopez"
"256",2014-03-06,"Indian Wells Masters","Hard",96,"M",25,103852,104534,"3",37,1100,61,748,37,"Feliciano Lopez"
"257",2014-03-06,"Indian Wells Masters","Hard",96,"M",57,103852,104868,"3",37,1100,160,336,37,"Feliciano Lopez"
"258",2014-03-06,"Indian Wells Masters","Hard",96,"M",77,103852,105062,"3",37,1100,58,781,37,"Feliciano Lopez"
"259",2014-03-06,"Indian Wells Masters","Hard",96,"M",87,103898,103852,"3",65,730,37,1100,37,"Feliciano Lopez"
"260",2014-03-19,"Miami Masters","Hard",96,"M",58,103852,106210,"3",34,1180,73,685,34,"Feliciano Lopez"
"261",2014-03-19,"Miami Masters","Hard",96,"M",77,104918,103852,"3",6,4795,34,1180,34,"Feliciano Lopez"
"262",2014-04-07,"Houston","Clay",28,"A",10,103852,104068,"3",31,1225,329,134,31,"Feliciano Lopez"
"263",2014-04-07,"Houston","Clay",28,"A",19,105292,103852,"3",79,651,31,1225,31,"Feliciano Lopez"
"264",2014-04-21,"Barcelona","Clay",48,"A",18,104471,103852,"3",37,1110,30,1225,30,"Feliciano Lopez"
"265",2014-04-28,"Munich","Clay",28,"A",6,105526,103852,"3",96,593,30,1225,30,"Feliciano Lopez"
"266",2014-05-04,"Madrid Masters","Clay",56,"M",17,103852,105643,"3",29,1225,42,1023,29,"Feliciano Lopez"
"267",2014-05-04,"Madrid Masters","Clay",56,"M",35,103852,104022,"3",29,1225,16,2065,29,"Feliciano Lopez"
"268",2014-05-04,"Madrid Masters","Clay",56,"M",46,103852,106233,"3",29,1225,70,687,29,"Feliciano Lopez"
"269",2014-05-04,"Madrid Masters","Clay",56,"M",51,105453,103852,"3",12,2440,29,1225,29,"Feliciano Lopez"
"270",2014-05-11,"Rome Masters","Clay",56,"M",6,104719,103852,"3",31,1215,27,1395,27,"Feliciano Lopez"
"271",2014-05-26,"Roland Garros","Clay",128,"G",20,103852,106000,"5",27,1395,129,431,27,"Feliciano Lopez"
"272",2014-05-26,"Roland Garros","Clay",128,"G",74,105385,103852,"5",79,647,27,1395,27,"Feliciano Lopez"
"273",2014-06-09,"Queen's Club","Grass",56,"A",13,105554,103781,"3",139,414,51,870,139,"Daniel Evans"
"274",2014-06-09,"Queen's Club","Grass",56,"A",21,103852,105583,"3",29,1350,76,692,29,"Feliciano Lopez"
"275",2014-06-09,"Queen's Club","Grass",56,"A",33,104731,105554,"3",18,1710,139,414,139,"Daniel Evans"
"276",2014-06-09,"Queen's Club","Grass",56,"A",38,103852,103720,"3",29,1350,43,1030,29,"Feliciano Lopez"
"277",2014-06-09,"Queen's Club","Grass",56,"A",47,103852,104932,"3",29,1350,66,723,29,"Feliciano Lopez"
"278",2014-06-09,"Queen's Club","Grass",56,"A",52,103852,104607,"3",29,1350,6,4680,29,"Feliciano Lopez"
"279",2014-06-09,"Queen's Club","Grass",56,"A",54,103852,103285,"3",29,1350,42,1040,29,"Feliciano Lopez"
"280",2014-06-09,"Queen's Club","Grass",56,"A",55,105777,103852,"3",13,2435,29,1350,29,"Feliciano Lopez"
"281",2014-06-16,"Eastbourne","Grass",28,"A",9,104735,105554,"3",90,607,144,404,144,"Daniel Evans"
"282",2014-06-16,"Eastbourne","Grass",28,"A",18,103852,104735,"3",25,1455,90,607,25,"Feliciano Lopez"
"283",2014-06-16,"Eastbourne","Grass",28,"A",23,103852,104871,"3",25,1455,43,1015,25,"Feliciano Lopez"
"284",2014-06-16,"Eastbourne","Grass",28,"A",26,103852,105023,"3",25,1455,77,685,25,"Feliciano Lopez"
"285",2014-06-16,"Eastbourne","Grass",28,"A",27,103852,104755,"3",25,1455,14,2310,25,"Feliciano Lopez"
"286",2014-06-23,"Wimbledon","Grass",128,"G",31,105723,105554,"5",118,519,143,404,143,"Daniel Evans"
"287",2014-06-23,"Wimbledon","Grass",128,"G",37,103852,105216,"5",26,1455,145,399,26,"Feliciano Lopez"
"288",2014-06-23,"Wimbledon","Grass",128,"G",83,103852,105302,"5",26,1455,163,345,26,"Feliciano Lopez"
"289",2014-06-23,"Wimbledon","Grass",128,"G",106,103852,104545,"5",26,1455,11,2690,26,"Feliciano Lopez"
"290",2014-06-23,"Wimbledon","Grass",128,"G",117,104527,103852,"5",3,5420,26,1455,26,"Feliciano Lopez"
"291",2014-07-07,"Stuttgart","Clay",28,"A",18,103852,104593,"3",24,1545,94,587,24,"Feliciano Lopez"
"292",2014-07-07,"Stuttgart","Clay",28,"A",23,104586,103852,"3",48,900,24,1545,24,"Feliciano Lopez"
"293",2014-07-28,"Washington","Hard",48,"A",20,103607,103852,"3",87,635,25,1500,25,"Feliciano Lopez"
"294",2014-08-04,"Canada Masters","Hard",56,"M",16,103852,105138,"3",25,1500,16,1785,25,"Feliciano Lopez"
"295",2014-08-04,"Canada Masters","Hard",56,"M",35,103852,105065,"3",25,1500,104,561,25,"Feliciano Lopez"
"296",2014-08-04,"Canada Masters","Hard",56,"M",46,103852,104607,"3",25,1500,5,4410,25,"Feliciano Lopez"
"297",2014-08-04,"Canada Masters","Hard",56,"M",51,103852,105683,"3",25,1500,6,4375,25,"Feliciano Lopez"
"298",2014-08-04,"Canada Masters","Hard",56,"M",54,103819,103852,"3",3,6070,25,1500,25,"Feliciano Lopez"
"299",2014-08-10,"Cincinnati Masters","Hard",56,"M",9,105227,103852,"3",19,1755,16,1850,16,"Feliciano Lopez"
"300",2014-08-25,"US Open","Hard",128,"G",37,103852,104471,"5",21,1770,53,850,21,"Feliciano Lopez"
"301",2014-08-25,"US Open","Hard",128,"G",83,103852,105147,"5",21,1770,126,478,21,"Feliciano Lopez"
"302",2014-08-25,"US Open","Hard",128,"G",106,106233,103852,"5",45,985,21,1770,21,"Feliciano Lopez"
"303",2014-09-29,"Beijing","Hard",32,"A",12,104607,103852,"3",6,4115,20,1770,20,"Feliciano Lopez"
"304",2014-10-05,"Shanghai Masters","Hard",56,"M",24,103852,106423,"3",21,1745,173,302,21,"Feliciano Lopez"
"305",2014-10-05,"Shanghai Masters","Hard",56,"M",40,103852,104745,"3",21,1745,2,8455,21,"Feliciano Lopez"
"306",2014-10-05,"Shanghai Masters","Hard",56,"M",48,103852,104545,"3",21,1745,14,1925,21,"Feliciano Lopez"
"307",2014-10-05,"Shanghai Masters","Hard",56,"M",52,103852,104022,"3",21,1745,35,1135,21,"Feliciano Lopez"
"308",2014-10-05,"Shanghai Masters","Hard",56,"M",54,104468,103852,"3",29,1220,21,1745,21,"Feliciano Lopez"
"309",2014-10-13,"Vienna","Hard",28,"A",18,105064,103852,"3",68,753,14,2060,14,"Feliciano Lopez"
"310",2014-10-20,"Valencia","Hard",32,"A",12,103852,105613,"3",15,2060,136,398,15,"Feliciano Lopez"
"311",2014-10-20,"Valencia","Hard",32,"A",22,105807,103852,"3",63,771,15,2060,15,"Feliciano Lopez"
"312",2014-10-27,"Paris Masters","Hard",48,"M",26,103852,105023,"3",14,2085,38,1020,14,"Feliciano Lopez"
"313",2014-10-27,"Paris Masters","Hard",48,"M",37,104607,103852,"3",5,4485,14,2085,14,"Feliciano Lopez"
"314",2015-01-05,"Chennai","Hard",28,"A",20,105379,103852,"3",156,325,14,2130,14,"Feliciano Lopez"
"315",2015-01-19,"Australian Open","Hard",128,"G",9,103852,106045,"5",14,2130,123,452,14,"Feliciano Lopez"
"316",2015-01-19,"Australian Open","Hard",128,"G",69,103852,105173,"5",14,2130,36,1043,14,"Feliciano Lopez"
"317",2015-01-19,"Australian Open","Hard",128,"G",99,103852,105668,"5",14,2130,44,925,14,"Feliciano Lopez"
"318",2015-01-19,"Australian Open","Hard",128,"G",114,105683,103852,"5",8,4575,14,2130,14,"Feliciano Lopez"
"319",2015-02-02,"Quito","Clay",28,"A",13,103852,105292,"3",14,2220,106,525,14,"Feliciano Lopez"
"320",2015-02-02,"Quito","Clay",28,"A",21,103852,105583,"3",14,2220,80,651,14,"Feliciano Lopez"
"321",2015-02-02,"Quito","Clay",28,"A",25,103852,104269,"3",14,2220,32,1180,14,"Feliciano Lopez"
"322",2015-02-02,"Quito","Clay",28,"A",27,103607,103852,"3",76,674,14,2220,14,"Feliciano Lopez"
"323",2015-02-23,"Dubai","Hard",32,"A",4,103852,104868,"3",13,2325,108,519,13,"Feliciano Lopez"
"324",2015-02-23,"Dubai","Hard",32,"A",18,104947,103852,"3",104,538,13,2325,13,"Feliciano Lopez"
"325",2015-03-12,"Indian Wells Masters","Hard",96,"M",45,103852,104273,"3",12,2325,145,375,12,"Feliciano Lopez"
"326",2015-03-12,"Indian Wells Masters","Hard",96,"M",71,103852,104655,"3",12,2325,23,1512,12,"Feliciano Lopez"
"327",2015-03-12,"Indian Wells Masters","Hard",96,"M",84,103852,105453,"3",12,2325,5,5415,12,"Feliciano Lopez"
"328",2015-03-12,"Indian Wells Masters","Hard",96,"M",90,104918,103852,"3",4,5425,12,2325,12,"Feliciano Lopez"
"329",2015-03-25,"Miami Masters","Hard",96,"M",52,106233,103852,"3",52,891,12,2415,12,"Feliciano Lopez"
"330",2015-04-06,"Houston","Clay",28,"A",13,103852,105032,"3",12,2380,93,578,12,"Feliciano Lopez"
"331",2015-04-06,"Houston","Clay",28,"A",21,105023,103852,"3",42,1040,12,2380,12,"Feliciano Lopez"
"332",2015-04-20,"Barcelona","Clay",48,"A",29,103852,104947,"3",12,2380,84,611,12,"Feliciano Lopez"
"333",2015-04-20,"Barcelona","Clay",48,"A",39,104665,103852,"3",66,745,12,2380,12,"Feliciano Lopez"
"334",2015-04-27,"Estoril","Clay",28,"A",13,104898,103852,"3",101,532,12,2380,12,"Feliciano Lopez"
"335",2015-05-03,"Madrid Masters","Clay",56,"M",21,103852,103794,"3",12,2380,45,990,12,"Feliciano Lopez"
"336",2015-05-03,"Madrid Masters","Clay",56,"M",38,104919,103852,"3",27,1352,12,2380,12,"Feliciano Lopez"
"337",2015-05-10,"Rome Masters","Clay",56,"M",4,103852,106401,"3",13,2245,30,1220,13,"Feliciano Lopez"
"338",2015-05-10,"Rome Masters","Clay",56,"M",27,104678,103852,"3",34,1147,13,2245,13,"Feliciano Lopez"
"339",2015-05-24,"Roland Garros","Clay",128,"G",40,104559,103852,"5",74,677,12,2280,12,"Feliciano Lopez"
"340",2015-06-08,"Stuttgart","Grass",28,"A",18,105032,103852,"3",66,753,14,2245,14,"Feliciano Lopez"
"341",2015-06-15,"Queen's Club","Grass",32,"A",8,103852,105311,"3",14,2140,44,1043,14,"Feliciano Lopez"
"342",2015-06-15,"Queen's Club","Grass",32,"A",20,104545,103852,"3",18,1845,14,2140,14,"Feliciano Lopez"
"343",2015-06-21,"Nottingham","Grass",48,"A",28,103852,126203,"3",16,1935,761,27,16,"Feliciano Lopez"
"344",2015-06-21,"Nottingham","Grass",48,"A",38,104229,103852,"3",61,764,16,1935,16,"Feliciano Lopez"
"345",2015-06-29,"Wimbledon","Grass",128,"G",57,103852,104327,"5",16,1935,80,664,16,"Feliciano Lopez"
"346",2015-06-29,"Wimbledon","Grass",128,"G",93,105932,103852,"5",153,351,16,1935,16,"Feliciano Lopez"
"347",2015-07-27,"Gstaad","Clay",28,"A",20,103852,104714,"3",18,1800,759,27,18,"Feliciano Lopez"
"348",2015-07-27,"Gstaad","Clay",28,"A",24,103852,105053,"3",18,1800,59,790,18,"Feliciano Lopez"
"349",2015-07-27,"Gstaad","Clay",28,"A",26,106233,103852,"3",24,1475,18,1800,18,"Feliciano Lopez"
"350",2015-08-03,"Washington","Hard",48,"A",29,103852,103720,"3",19,1845,283,165,19,"Feliciano Lopez"
"351",2015-08-03,"Washington","Hard",48,"A",39,105032,103852,"3",62,773,19,1845,19,"Feliciano Lopez"
"352",2015-08-10,"Canada Masters","Hard",56,"M",24,103990,103852,"3",22,1495,21,1530,21,"Feliciano Lopez"
"353",2015-08-16,"Cincinnati Masters","Hard",56,"M",21,103852,105683,"3",23,1530,10,2925,23,"Feliciano Lopez"
"354",2015-08-16,"Cincinnati Masters","Hard",56,"M",38,103852,104312,"3",23,1530,25,1430,23,"Feliciano Lopez"
"355",2015-08-16,"Cincinnati Masters","Hard",56,"M",47,103852,104745,"3",23,1530,8,3680,23,"Feliciano Lopez"
"356",2015-08-16,"Cincinnati Masters","Hard",56,"M",52,103819,103852,"3",3,8065,23,1530,23,"Feliciano Lopez"
"357",2015-08-31,"US Open","Hard",128,"G",12,103852,105932,"5",19,1665,101,534,19,"Feliciano Lopez"
"358",2015-08-31,"US Open","Hard",128,"G",70,103852,103888,"5",19,1665,581,55,19,"Feliciano Lopez"
"359",2015-08-31,"US Open","Hard",128,"G",99,103852,105683,"5",19,1665,10,2880,19,"Feliciano Lopez"
"360",2015-08-31,"US Open","Hard",128,"G",114,103852,104926,"5",19,1665,32,1165,19,"Feliciano Lopez"
"361",2015-08-31,"US Open","Hard",128,"G",121,104925,103852,"5",1,14865,19,1665,19,"Feliciano Lopez"
"362",2015-09-18,"Davis Cup WG SF: GBR vs AUS","Hard",4,"D",2,106071,105554,"5",23,1510,300,153,300,"Daniel Evans"
"363",2015-09-18,"Davis Cup WG SF: GBR vs AUS","Hard",4,"D",5,106423,105554,"3",72,704,300,153,300,"Daniel Evans"
"364",2015-09-28,"Kuala Lumpur","Hard",28,"A",20,103852,104999,"3",17,1935,248,191,17,"Feliciano Lopez"
"365",2015-09-28,"Kuala Lumpur","Hard",28,"A",24,103852,105577,"3",17,1935,44,995,17,"Feliciano Lopez"
"366",2015-09-28,"Kuala Lumpur","Hard",28,"A",26,103852,106401,"3",17,1935,41,1035,17,"Feliciano Lopez"
"367",2015-09-28,"Kuala Lumpur","Hard",28,"A",27,103970,103852,"3",8,3695,17,1935,17,"Feliciano Lopez"
"368",2015-10-05,"Tokyo","Hard",32,"A",4,105311,103852,"3",45,951,15,2040,15,"Feliciano Lopez"
"369",2015-10-11,"Shanghai Masters","Hard",56,"M",3,103852,105723,"3",17,1725,88,589,17,"Feliciano Lopez"
"370",2015-10-11,"Shanghai Masters","Hard",56,"M",26,103852,106233,"3",17,1725,18,1600,17,"Feliciano Lopez"
"371",2015-10-11,"Shanghai Masters","Hard",56,"M",41,104925,103852,"3",1,15785,17,1725,17,"Feliciano Lopez"
"372",2015-10-26,"Valencia","Hard",28,"A",20,105449,103852,"3",33,1195,16,1770,16,"Feliciano Lopez"
"373",2015-11-02,"Paris Masters","Hard",48,"M",22,104678,103852,"3",27,1442,17,1725,17,"Feliciano Lopez"
"374",2016-01-04,"Doha","Hard",32,"A",278,103926,103852,"3",75,681,17,1690,17,"Feliciano Lopez"
"375",2016-01-18,"Australian Open","Hard",128,"G",152,103852,105554,"5",19,1690,185,274,19,"Feliciano Lopez"
"376",2016-01-18,"Australian Open","Hard",128,"G",190,103852,105550,"5",19,1690,75,693,19,"Feliciano Lopez"
"377",2016-01-18,"Australian Open","Hard",128,"G",209,104545,103852,"5",11,2495,19,1690,19,"Feliciano Lopez"
"378",2016-02-01,"Quito","Clay",32,"A",286,103852,105154,"3",22,1600,154,386,22,"Feliciano Lopez"
"379",2016-02-01,"Quito","Clay",32,"A",294,105077,103852,"3",55,808,22,1600,22,"Feliciano Lopez"
"380",2016-02-15,"Marseille","Hard",32,"A",284,104660,103852,"3",81,663,25,1495,25,"Feliciano Lopez"
"381",2016-02-22,"Dubai","Hard",32,"A",282,103852,104198,"3",24,1495,37,1135,24,"Feliciano Lopez"
"382",2016-02-22,"Dubai","Hard",32,"A",292,103852,104586,"3",24,1495,51,872,24,"Feliciano Lopez"
"383",2016-02-22,"Dubai","Hard",32,"A",297,103852,104925,"3",24,1495,1,16790,24,"Feliciano Lopez"
"384",2016-02-22,"Dubai","Hard",32,"A",299,104571,103852,"3",57,805,24,1495,24,"Feliciano Lopez"
"385",2016-03-04,"Davis Cup WG R1: GBR vs JPN","Hard",4,"D",2,105453,105554,"3",6,4030,157,369,157,"Daniel Evans"
"386",2016-03-07,"Indian Wells Masters","Hard",128,"M",286,103852,104198,"3",21,1630,38,1135,21,"Feliciano Lopez"
"387",2016-03-07,"Indian Wells Masters","Hard",128,"M",299,103852,105138,"3",21,1630,17,1935,21,"Feliciano Lopez"
"388",2016-03-07,"Indian Wells Masters","Hard",128,"M",312,104925,103852,"3",1,16540,21,1630,21,"Feliciano Lopez"
"389",2016-03-21,"Miami Masters","Hard",128,"M",267,106415,103852,"3",124,472,23,1540,23,"Feliciano Lopez"
"390",2016-04-04,"Houston","Clay",32,"A",288,103852,105041,"3",24,1540,114,522,24,"Feliciano Lopez"
"391",2016-04-04,"Houston","Clay",32,"A",295,103852,105065,"3",24,1540,125,471,24,"Feliciano Lopez"
"392",2016-04-04,"Houston","Clay",32,"A",298,104338,103852,"3",148,390,24,1540,24,"Feliciano Lopez"
"393",2016-04-11,"Monte Carlo Masters","Clay",64,"M",265,105676,103852,"3",13,2560,23,1585,23,"Feliciano Lopez"
"394",2016-04-18,"Barcelona","Clay",64,"A",278,103852,104471,"3",23,1585,79,704,23,"Feliciano Lopez"
"395",2016-04-18,"Barcelona","Clay",64,"A",290,104259,103852,"3",27,1330,23,1585,23,"Feliciano Lopez"
"396",2016-05-02,"Madrid Masters","Clay",64,"M",267,103852,104919,"3",23,1585,42,1000,23,"Feliciano Lopez"
"397",2016-05-02,"Madrid Masters","Clay",64,"M",284,105138,103852,"3",17,2015,23,1585,23,"Feliciano Lopez"
"398",2016-05-09,"Rome Masters","Clay",64,"M",249,104731,103852,"3",19,1840,23,1585,23,"Feliciano Lopez"
"399",2016-05-23,"Roland Garros","Clay",128,"G",111,103852,105341,"5",23,1550,117,518,23,"Feliciano Lopez"
"400",2016-05-23,"Roland Garros","Clay",128,"G",169,103852,103607,"5",23,1550,87,670,23,"Feliciano Lopez"
"401",2016-05-23,"Roland Garros","Clay",128,"G",198,103970,103852,"5",11,2740,23,1550,23,"Feliciano Lopez"
"402",2016-06-06,"Stuttgart","Grass",32,"A",278,104022,103852,"3",76,707,22,1630,22,"Feliciano Lopez"
"403",2016-06-13,"Queen's Club","Grass",32,"A",278,105227,103852,"3",13,2605,21,1630,21,"Feliciano Lopez"
"404",2016-06-13,"Queen's Club","Grass",32,"A",283,103908,105554,"3",61,820,92,628,92,"Daniel Evans"
"405",2016-06-20,"Nottingham","Grass",64,"A",240,105554,106281,"3",95,628,234,224,95,"Daniel Evans"
"406",2016-06-20,"Nottingham","Grass",64,"A",271,105554,105575,"3",95,628,53,890,95,"Daniel Evans"
"407",2016-06-20,"Nottingham","Grass",64,"A",286,104655,105554,"3",25,1450,95,628,95,"Daniel Evans"
"408",2016-06-27,"Wimbledon","Grass",128,"G",118,105554,105526,"5",91,648,86,661,91,"Daniel Evans"
"409",2016-06-27,"Wimbledon","Grass",128,"G",159,103852,104330,"5",21,1630,72,743,21,"Feliciano Lopez"
"410",2016-06-27,"Wimbledon","Grass",128,"G",173,105554,105238,"5",91,648,33,1215,91,"Daniel Evans"
"411",2016-06-27,"Wimbledon","Grass",128,"G",193,103852,104926,"5",21,1630,35,1170,21,"Feliciano Lopez"
"412",2016-06-27,"Wimbledon","Grass",128,"G",200,103819,105554,"5",3,6425,91,648,91,"Daniel Evans"
"413",2016-06-27,"Wimbledon","Grass",128,"G",210,106401,103852,"5",18,1855,21,1630,21,"Feliciano Lopez"
"414",2016-07-15,"Davis Cup G1 R2: ESP vs ROU","Hard",4,"D",1,103852,105657,"5",20,1675,163,338,20,"Feliciano Lopez"
"415",2016-07-18,"Gstaad","Clay",32,"A",293,103852,103902,"3",21,1675,306,158,21,"Feliciano Lopez"
"416",2016-07-18,"Gstaad","Clay",32,"A",297,103852,111200,"3",21,1675,157,357,21,"Feliciano Lopez"
"417",2016-07-18,"Gstaad","Clay",32,"A",299,103852,104460,"3",21,1675,99,603,21,"Feliciano Lopez"
"418",2016-07-18,"Gstaad","Clay",32,"A",300,103852,104898,"3",21,1675,95,615,21,"Feliciano Lopez"
"419",2016-07-18,"Washington","Hard",64,"A",256,105554,103794,"3",82,695,96,612,82,"Daniel Evans"
"420",2016-07-18,"Washington","Hard",64,"A",279,105554,105777,"3",82,695,40,1150,82,"Daniel Evans"
"421",2016-07-18,"Washington","Hard",64,"A",290,106058,105554,"3",26,1495,82,695,82,"Daniel Evans"
"422",2016-08-01,"Atlanta","Hard",32,"A",275,106415,105554,"3",97,608,82,705,82,"Daniel Evans"
